Using device: cuda
Output directory: experiments/emender_1p3b_cma/heldout/leveltyped-gdn2-lm_100m_20260611_191934
Auto r_h_mode: none (level 0 has bounded/no W_h)
Tokenizer: p50k_base, vocab_size=50281
Model: Level typed-gdn2-lm, 1,287,942,344 parameters
Using schedule-free AdamW (lr=0.0011083449181198209)

Starting training from step 0...
Batch size: 2, Chunk size: 2048
Gradient accumulation: 1, Effective batch: 2

Time-based training: 15.0 min budget (from process start). Init took 21.4s, 878.6s remaining for training.
step    740 | loss 5.9223 | lr 1.11e-03 | grad 1.90 | tok/s 6916 | elapsed_h 0.131 | time 2026-06-11T19:27:19+00:00
step    750 | loss 5.9471 | lr 1.11e-03 | grad 1.79 | tok/s 6918 | elapsed_h 0.132 | time 2026-06-11T19:27:25+00:00
step    760 | loss 6.0391 | lr 1.11e-03 | grad 1.66 | tok/s 6915 | elapsed_h 0.134 | time 2026-06-11T19:27:31+00:00
step    770 | loss 5.8392 | lr 1.11e-03 | grad 1.68 | tok/s 6921 | elapsed_h 0.136 | time 2026-06-11T19:27:37+00:00
step    780 | loss 5.9232 | lr 1.11e-03 | grad 1.80 | tok/s 6919 | elapsed_h 0.137 | time 2026-06-11T19:27:43+00:00
step    790 | loss 5.7890 | lr 1.11e-03 | grad 1.70 | tok/s 6928 | elapsed_h 0.139 | time 2026-06-11T19:27:49+00:00
step    800 | loss 5.9403 | lr 1.11e-03 | grad 1.16 | tok/s 6926 | elapsed_h 0.141 | time 2026-06-11T19:27:55+00:00
step    810 | loss 5.6009 | lr 1.11e-03 | grad 1.25 | tok/s 6937 | elapsed_h 0.142 | time 2026-06-11T19:28:01+00:00
step    820 | loss 5.7920 | lr 1.11e-03 | grad 2.09 | tok/s 6927 | elapsed_h 0.144 | time 2026-06-11T19:28:07+00:00
step    830 | loss 5.8759 | lr 1.11e-03 | grad 1.54 | tok/s 6917 | elapsed_h 0.146 | time 2026-06-11T19:28:13+00:00
