Using device: cuda
Output directory: paper/review/wl_lm/delta_gdnneg/leveltyped-gdn2-lm_100m_20260607_154548
Auto r_h_mode: none (level 0 has bounded/no W_h)
Tokenizer: p50k_base, vocab_size=50281
Model: Level typed-gdn2-lm, 145,579,008 parameters
Using schedule-free AdamW (lr=0.0003)

Starting training from step 0...
Batch size: 16, Chunk size: 512
Gradient accumulation: 1, Effective batch: 16

Time-based training: 17.5 min budget (from process start). Init took 8.3s, 1041.7s remaining for training.
step    840 | loss 6.8210 | lr 3.00e-04 | grad 2.25 | tok/s 45721 | elapsed_h 0.102 | time 2026-06-07T15:51:49+00:00
step    850 | loss 6.8241 | lr 3.00e-04 | grad 1.90 | tok/s 45787 | elapsed_h 0.102 | time 2026-06-07T15:51:51+00:00
step    860 | loss 6.8109 | lr 3.00e-04 | grad 1.77 | tok/s 45813 | elapsed_h 0.103 | time 2026-06-07T15:51:52+00:00
step    870 | loss 6.7787 | lr 3.00e-04 | grad 1.69 | tok/s 45800 | elapsed_h 0.103 | time 2026-06-07T15:51:54+00:00
step    880 | loss 6.8247 | lr 3.00e-04 | grad 1.80 | tok/s 45772 | elapsed_h 0.104 | time 2026-06-07T15:51:56+00:00
step    890 | loss 6.7839 | lr 3.00e-04 | grad 1.78 | tok/s 45825 | elapsed_h 0.104 | time 2026-06-07T15:51:58+00:00
step    900 | loss 6.8468 | lr 3.00e-04 | grad 1.83 | tok/s 45792 | elapsed_h 0.105 | time 2026-06-07T15:52:00+00:00
step    910 | loss 6.7427 | lr 3.00e-04 | grad 1.78 | tok/s 45819 | elapsed_h 0.105 | time 2026-06-07T15:52:01+00:00
step    920 | loss 6.7091 | lr 3.00e-04 | grad 1.71 | tok/s 45759 | elapsed_h 0.106 | time 2026-06-07T15:52:03+00:00
step    930 | loss 6.7283 | lr 3.00e-04 | grad 1.79 | tok/s 45795 | elapsed_h 0.106 | time 2026-06-07T15:52:05+00:00
step    940 | loss 6.7504 | lr 3.00e-04 | grad 1.91 | tok/s 45778 | elapsed_h 0.107 | time 2026-06-07T15:52:07+00:00
step    950 | loss 6.7611 | lr 3.00e-04 | grad 1.89 | tok/s 45788 | elapsed_h 0.107 | time 2026-06-07T15:52:09+00:00
step    960 | loss 6.8163 | lr 3.00e-04 | grad 1.70 | tok/s 45811 | elapsed_h 0.108 | time 2026-06-07T15:52:10+00:00
step    970 | loss 6.7208 | lr 3.00e-04 | grad 1.77 | tok/s 45792 | elapsed_h 0.108 | time 2026-06-07T15:52:12+00:00
step    980 | loss 6.7075 | lr 3.00e-04 | grad 1.73 | tok/s 45779 | elapsed_h 0.109 | time 2026-06-07T15:52:14+00:00
step    990 | loss 6.7474 | lr 3.00e-04 | grad 1.66 | tok/s 45348 | elapsed_h 0.109 | time 2026-06-07T15:52:16+00:00
step   1000 | loss 6.6936 | lr 3.00e-04 | grad 1.74 | tok/s 45764 | elapsed_h 0.110 | time 2026-06-07T15:52:18+00:00
  >>> validation loss: 9.3456
step   1010 | loss 6.7123 | lr 3.00e-04 | grad 1.66 | tok/s 413 | elapsed_h 0.165 | time 2026-06-07T15:55:36+00:00
step   1020 | loss 6.7268 | lr 3.00e-04 | grad 1.60 | tok/s 46498 | elapsed_h 0.166 | time 2026-06-07T15:55:38+00:00
step   1030 | loss 6.6650 | lr 3.00e-04 | grad 1.91 | tok/s 46124 | elapsed_h 0.166 | time 2026-06-07T15:55:40+00:00
step   1040 | loss 6.5950 | lr 3.00e-04 | grad 1.83 | tok/s 46345 | elapsed_h 0.167 | time 2026-06-07T15:55:42+00:00
step   1050 | loss 6.6477 | lr 3.00e-04 | grad 1.65 | tok/s 45785 | elapsed_h 0.167 | time 2026-06-07T15:55:43+00:00
step   1060 | loss 6.6492 | lr 3.00e-04 | grad 1.79 | tok/s 45787 | elapsed_h 0.168 | time 2026-06-07T15:55:45+00:00
step   1070 | loss 6.7546 | lr 3.00e-04 | grad 1.86 | tok/s 46317 | elapsed_h 0.168 | time 2026-06-07T15:55:47+00:00
step   1080 | loss 6.6480 | lr 3.00e-04 | grad 1.75 | tok/s 46309 | elapsed_h 0.169 | time 2026-06-07T15:55:49+00:00
step   1090 | loss 6.6513 | lr 3.00e-04 | grad 1.79 | tok/s 45804 | elapsed_h 0.169 | time 2026-06-07T15:55:51+00:00
step   1100 | loss 6.6669 | lr 3.00e-04 | grad 1.74 | tok/s 45791 | elapsed_h 0.170 | time 2026-06-07T15:55:52+00:00
step   1110 | loss 6.6379 | lr 3.00e-04 | grad 1.71 | tok/s 45811 | elapsed_h 0.170 | time 2026-06-07T15:55:54+00:00
step   1120 | loss 6.6395 | lr 3.00e-04 | grad 1.60 | tok/s 40388 | elapsed_h 0.171 | time 2026-06-07T15:55:56+00:00
step   1130 | loss 6.6591 | lr 3.00e-04 | grad 1.69 | tok/s 45792 | elapsed_h 0.171 | time 2026-06-07T15:55:58+00:00
step   1140 | loss 6.6638 | lr 3.00e-04 | grad 1.77 | tok/s 45793 | elapsed_h 0.172 | time 2026-06-07T15:56:00+00:00
step   1150 | loss 6.6191 | lr 3.00e-04 | grad 1.59 | tok/s 45814 | elapsed_h 0.172 | time 2026-06-07T15:56:02+00:00
step   1160 | loss 6.6262 | lr 3.00e-04 | grad 1.66 | tok/s 45790 | elapsed_h 0.173 | time 2026-06-07T15:56:03+00:00
step   1170 | loss 6.5827 | lr 3.00e-04 | grad 1.80 | tok/s 45796 | elapsed_h 0.173 | time 2026-06-07T15:56:05+00:00
step   1180 | loss 6.7063 | lr 3.00e-04 | grad 1.57 | tok/s 45805 | elapsed_h 0.174 | time 2026-06-07T15:56:07+00:00
step   1190 | loss 6.6783 | lr 3.00e-04 | grad 1.65 | tok/s 45787 | elapsed_h 0.174 | time 2026-06-07T15:56:09+00:00
step   1200 | loss 6.7190 | lr 3.00e-04 | grad 2.02 | tok/s 45800 | elapsed_h 0.175 | time 2026-06-07T15:56:11+00:00
step   1210 | loss 6.6178 | lr 3.00e-04 | grad 1.60 | tok/s 45812 | elapsed_h 0.175 | time 2026-06-07T15:56:12+00:00
step   1220 | loss 6.6312 | lr 3.00e-04 | grad 1.67 | tok/s 45787 | elapsed_h 0.176 | time 2026-06-07T15:56:14+00:00
step   1230 | loss 6.5376 | lr 3.00e-04 | grad 1.60 | tok/s 45810 | elapsed_h 0.176 | time 2026-06-07T15:56:16+00:00
step   1240 | loss 6.5820 | lr 3.00e-04 | grad 1.57 | tok/s 45805 | elapsed_h 0.177 | time 2026-06-07T15:56:18+00:00
step   1250 | loss 6.5352 | lr 3.00e-04 | grad 1.57 | tok/s 45796 | elapsed_h 0.177 | time 2026-06-07T15:56:20+00:00
step   1260 | loss 6.5861 | lr 3.00e-04 | grad 1.52 | tok/s 45808 | elapsed_h 0.178 | time 2026-06-07T15:56:21+00:00
step   1270 | loss 6.6017 | lr 3.00e-04 | grad 1.59 | tok/s 45261 | elapsed_h 0.178 | time 2026-06-07T15:56:23+00:00
step   1280 | loss 6.5531 | lr 3.00e-04 | grad 1.73 | tok/s 44367 | elapsed_h 0.179 | time 2026-06-07T15:56:25+00:00
step   1290 | loss 6.4886 | lr 3.00e-04 | grad 1.62 | tok/s 44536 | elapsed_h 0.179 | time 2026-06-07T15:56:27+00:00
step   1300 | loss 6.6068 | lr 3.00e-04 | grad 1.52 | tok/s 44636 | elapsed_h 0.180 | time 2026-06-07T15:56:29+00:00
step   1310 | loss 6.5992 | lr 3.00e-04 | grad 1.54 | tok/s 44578 | elapsed_h 0.180 | time 2026-06-07T15:56:31+00:00
step   1320 | loss 6.6113 | lr 3.00e-04 | grad 1.60 | tok/s 44426 | elapsed_h 0.181 | time 2026-06-07T15:56:32+00:00
step   1330 | loss 6.4971 | lr 3.00e-04 | grad 1.56 | tok/s 44192 | elapsed_h 0.181 | time 2026-06-07T15:56:34+00:00
step   1340 | loss 6.5353 | lr 3.00e-04 | grad 1.56 | tok/s 44303 | elapsed_h 0.182 | time 2026-06-07T15:56:36+00:00
step   1350 | loss 6.5361 | lr 3.00e-04 | grad 1.55 | tok/s 44408 | elapsed_h 0.182 | time 2026-06-07T15:56:38+00:00
step   1360 | loss 6.5970 | lr 3.00e-04 | grad 1.86 | tok/s 44296 | elapsed_h 0.183 | time 2026-06-07T15:56:40+00:00
step   1370 | loss 6.5594 | lr 3.00e-04 | grad 1.55 | tok/s 44551 | elapsed_h 0.183 | time 2026-06-07T15:56:42+00:00
step   1380 | loss 6.6553 | lr 3.00e-04 | grad 1.77 | tok/s 44480 | elapsed_h 0.184 | time 2026-06-07T15:56:44+00:00
step   1390 | loss 6.4991 | lr 3.00e-04 | grad 1.48 | tok/s 44631 | elapsed_h 0.184 | time 2026-06-07T15:56:45+00:00
step   1400 | loss 6.5415 | lr 3.00e-04 | grad 1.75 | tok/s 44754 | elapsed_h 0.185 | time 2026-06-07T15:56:47+00:00
step   1410 | loss 6.5300 | lr 3.00e-04 | grad 1.54 | tok/s 44786 | elapsed_h 0.185 | time 2026-06-07T15:56:49+00:00
step   1420 | loss 6.5683 | lr 3.00e-04 | grad 1.50 | tok/s 44572 | elapsed_h 0.186 | time 2026-06-07T15:56:51+00:00
step   1430 | loss 6.4799 | lr 3.00e-04 | grad 1.59 | tok/s 44570 | elapsed_h 0.186 | time 2026-06-07T15:56:53+00:00
step   1440 | loss 6.4128 | lr 3.00e-04 | grad 1.48 | tok/s 44930 | elapsed_h 0.187 | time 2026-06-07T15:56:55+00:00
step   1450 | loss 6.4374 | lr 3.00e-04 | grad 1.46 | tok/s 44900 | elapsed_h 0.187 | time 2026-06-07T15:56:57+00:00
step   1460 | loss 6.5624 | lr 3.00e-04 | grad 1.54 | tok/s 45078 | elapsed_h 0.188 | time 2026-06-07T15:56:58+00:00
step   1470 | loss 6.4908 | lr 3.00e-04 | grad 1.52 | tok/s 44973 | elapsed_h 0.188 | time 2026-06-07T15:57:00+00:00
step   1480 | loss 6.3643 | lr 3.00e-04 | grad 1.44 | tok/s 45001 | elapsed_h 0.189 | time 2026-06-07T15:57:02+00:00
step   1490 | loss 6.3984 | lr 3.00e-04 | grad 1.58 | tok/s 45136 | elapsed_h 0.189 | time 2026-06-07T15:57:04+00:00
step   1500 | loss 6.5460 | lr 3.00e-04 | grad 1.46 | tok/s 44904 | elapsed_h 0.190 | time 2026-06-07T15:57:06+00:00
  >>> validation loss: 8.9966
step   1510 | loss 6.4226 | lr 3.00e-04 | grad 1.58 | tok/s 414 | elapsed_h 0.245 | time 2026-06-07T16:00:24+00:00
step   1520 | loss 6.4890 | lr 3.00e-04 | grad 1.48 | tok/s 45774 | elapsed_h 0.245 | time 2026-06-07T16:00:26+00:00
step   1530 | loss 6.4802 | lr 3.00e-04 | grad 1.46 | tok/s 45800 | elapsed_h 0.246 | time 2026-06-07T16:00:27+00:00
step   1540 | loss 6.5078 | lr 3.00e-04 | grad 1.45 | tok/s 45783 | elapsed_h 0.246 | time 2026-06-07T16:00:29+00:00
step   1550 | loss 6.5119 | lr 3.00e-04 | grad 1.48 | tok/s 45684 | elapsed_h 0.247 | time 2026-06-07T16:00:31+00:00
step   1560 | loss 6.4404 | lr 3.00e-04 | grad 1.62 | tok/s 45127 | elapsed_h 0.247 | time 2026-06-07T16:00:33+00:00
step   1570 | loss 6.4018 | lr 3.00e-04 | grad 1.55 | tok/s 45088 | elapsed_h 0.248 | time 2026-06-07T16:00:35+00:00
step   1580 | loss 6.4750 | lr 3.00e-04 | grad 1.62 | tok/s 44997 | elapsed_h 0.248 | time 2026-06-07T16:00:37+00:00
step   1590 | loss 6.4526 | lr 3.00e-04 | grad 1.60 | tok/s 44981 | elapsed_h 0.249 | time 2026-06-07T16:00:38+00:00
