Using device: cuda
Output directory: paper/review/wl_lm/raw_gdn/leveltyped-gdn2-lm_100m_20260607_154529
Auto r_h_mode: none (level 0 has bounded/no W_h)
Tokenizer: p50k_base, vocab_size=50281
Model: Level typed-gdn2-lm, 145,579,008 parameters
Using schedule-free AdamW (lr=0.0003)

Starting training from step 0...
Batch size: 16, Chunk size: 512
Gradient accumulation: 1, Effective batch: 16

Time-based training: 17.5 min budget (from process start). Init took 9.1s, 1040.9s remaining for training.
step    810 | loss 6.3928 | lr 3.00e-04 | grad 1.46 | tok/s 49638 | elapsed_h 0.086 | time 2026-06-07T15:50:32+00:00
step    820 | loss 6.4487 | lr 3.00e-04 | grad 1.16 | tok/s 49721 | elapsed_h 0.087 | time 2026-06-07T15:50:33+00:00
step    830 | loss 6.4074 | lr 3.00e-04 | grad 1.20 | tok/s 49714 | elapsed_h 0.087 | time 2026-06-07T15:50:35+00:00
step    840 | loss 6.4555 | lr 3.00e-04 | grad 1.38 | tok/s 49702 | elapsed_h 0.087 | time 2026-06-07T15:50:37+00:00
step    850 | loss 6.4001 | lr 3.00e-04 | grad 1.09 | tok/s 49654 | elapsed_h 0.088 | time 2026-06-07T15:50:38+00:00
step    860 | loss 6.4055 | lr 3.00e-04 | grad 1.13 | tok/s 49590 | elapsed_h 0.088 | time 2026-06-07T15:50:40+00:00
step    870 | loss 6.4070 | lr 3.00e-04 | grad 1.12 | tok/s 49684 | elapsed_h 0.089 | time 2026-06-07T15:50:42+00:00
step    880 | loss 6.3620 | lr 3.00e-04 | grad 1.13 | tok/s 50258 | elapsed_h 0.089 | time 2026-06-07T15:50:43+00:00
step    890 | loss 6.4429 | lr 3.00e-04 | grad 1.38 | tok/s 50255 | elapsed_h 0.090 | time 2026-06-07T15:50:45+00:00
step    900 | loss 6.3444 | lr 3.00e-04 | grad 1.30 | tok/s 50212 | elapsed_h 0.090 | time 2026-06-07T15:50:47+00:00
step    910 | loss 6.3428 | lr 3.00e-04 | grad 1.35 | tok/s 50328 | elapsed_h 0.091 | time 2026-06-07T15:50:48+00:00
step    920 | loss 6.3883 | lr 3.00e-04 | grad 1.30 | tok/s 50263 | elapsed_h 0.091 | time 2026-06-07T15:50:50+00:00
step    930 | loss 6.3902 | lr 3.00e-04 | grad 1.34 | tok/s 50318 | elapsed_h 0.092 | time 2026-06-07T15:50:52+00:00
step    940 | loss 6.4085 | lr 3.00e-04 | grad 1.34 | tok/s 50041 | elapsed_h 0.092 | time 2026-06-07T15:50:53+00:00
step    950 | loss 6.3214 | lr 3.00e-04 | grad 1.36 | tok/s 50063 | elapsed_h 0.092 | time 2026-06-07T15:50:55+00:00
step    960 | loss 6.3048 | lr 3.00e-04 | grad 1.28 | tok/s 50174 | elapsed_h 0.093 | time 2026-06-07T15:50:57+00:00
step    970 | loss 6.3073 | lr 3.00e-04 | grad 1.10 | tok/s 50038 | elapsed_h 0.093 | time 2026-06-07T15:50:58+00:00
step    980 | loss 6.3101 | lr 3.00e-04 | grad 1.09 | tok/s 50032 | elapsed_h 0.094 | time 2026-06-07T15:51:00+00:00
step    990 | loss 6.2973 | lr 3.00e-04 | grad 1.19 | tok/s 49185 | elapsed_h 0.094 | time 2026-06-07T15:51:02+00:00
step   1000 | loss 6.4194 | lr 3.00e-04 | grad 1.23 | tok/s 48939 | elapsed_h 0.095 | time 2026-06-07T15:51:03+00:00
  >>> validation loss: 8.7950
step   1010 | loss 6.2520 | lr 3.00e-04 | grad 1.19 | tok/s 518 | elapsed_h 0.139 | time 2026-06-07T15:53:42+00:00
step   1020 | loss 6.2626 | lr 3.00e-04 | grad 1.18 | tok/s 51054 | elapsed_h 0.139 | time 2026-06-07T15:53:43+00:00
step   1030 | loss 6.3044 | lr 3.00e-04 | grad 1.34 | tok/s 50972 | elapsed_h 0.140 | time 2026-06-07T15:53:45+00:00
step   1040 | loss 6.2888 | lr 3.00e-04 | grad 1.16 | tok/s 50807 | elapsed_h 0.140 | time 2026-06-07T15:53:47+00:00
step   1050 | loss 6.3869 | lr 3.00e-04 | grad 1.43 | tok/s 50923 | elapsed_h 0.141 | time 2026-06-07T15:53:48+00:00
step   1060 | loss 6.2882 | lr 3.00e-04 | grad 1.18 | tok/s 50871 | elapsed_h 0.141 | time 2026-06-07T15:53:50+00:00
step   1070 | loss 6.1972 | lr 3.00e-04 | grad 1.14 | tok/s 50848 | elapsed_h 0.142 | time 2026-06-07T15:53:51+00:00
step   1080 | loss 6.2733 | lr 3.00e-04 | grad 1.34 | tok/s 50907 | elapsed_h 0.142 | time 2026-06-07T15:53:53+00:00
step   1090 | loss 6.2505 | lr 3.00e-04 | grad 1.09 | tok/s 50912 | elapsed_h 0.142 | time 2026-06-07T15:53:55+00:00
step   1100 | loss 6.3189 | lr 3.00e-04 | grad 1.12 | tok/s 50791 | elapsed_h 0.143 | time 2026-06-07T15:53:56+00:00
step   1110 | loss 6.2448 | lr 3.00e-04 | grad 1.30 | tok/s 50709 | elapsed_h 0.143 | time 2026-06-07T15:53:58+00:00
step   1120 | loss 6.1440 | lr 3.00e-04 | grad 1.22 | tok/s 50298 | elapsed_h 0.144 | time 2026-06-07T15:54:00+00:00
step   1130 | loss 6.1834 | lr 3.00e-04 | grad 1.13 | tok/s 50385 | elapsed_h 0.144 | time 2026-06-07T15:54:01+00:00
step   1140 | loss 6.1609 | lr 3.00e-04 | grad 1.12 | tok/s 50622 | elapsed_h 0.145 | time 2026-06-07T15:54:03+00:00
step   1150 | loss 6.3359 | lr 3.00e-04 | grad 1.44 | tok/s 50500 | elapsed_h 0.145 | time 2026-06-07T15:54:04+00:00
step   1160 | loss 6.2111 | lr 3.00e-04 | grad 1.41 | tok/s 50407 | elapsed_h 0.146 | time 2026-06-07T15:54:06+00:00
step   1170 | loss 6.2147 | lr 3.00e-04 | grad 1.12 | tok/s 50554 | elapsed_h 0.146 | time 2026-06-07T15:54:08+00:00
step   1180 | loss 6.2189 | lr 3.00e-04 | grad 1.24 | tok/s 50442 | elapsed_h 0.146 | time 2026-06-07T15:54:09+00:00
step   1190 | loss 6.2101 | lr 3.00e-04 | grad 1.10 | tok/s 50342 | elapsed_h 0.147 | time 2026-06-07T15:54:11+00:00
step   1200 | loss 6.1871 | lr 3.00e-04 | grad 1.12 | tok/s 50278 | elapsed_h 0.147 | time 2026-06-07T15:54:13+00:00
step   1210 | loss 6.2459 | lr 3.00e-04 | grad 1.40 | tok/s 50216 | elapsed_h 0.148 | time 2026-06-07T15:54:14+00:00
step   1220 | loss 6.2234 | lr 3.00e-04 | grad 1.39 | tok/s 50255 | elapsed_h 0.148 | time 2026-06-07T15:54:16+00:00
step   1230 | loss 6.1992 | lr 3.00e-04 | grad 1.34 | tok/s 50327 | elapsed_h 0.149 | time 2026-06-07T15:54:18+00:00
step   1240 | loss 6.1891 | lr 3.00e-04 | grad 1.27 | tok/s 50234 | elapsed_h 0.149 | time 2026-06-07T15:54:19+00:00
step   1250 | loss 6.1609 | lr 3.00e-04 | grad 1.35 | tok/s 50265 | elapsed_h 0.150 | time 2026-06-07T15:54:21+00:00
step   1260 | loss 6.2293 | lr 3.00e-04 | grad 1.46 | tok/s 50281 | elapsed_h 0.150 | time 2026-06-07T15:54:22+00:00
step   1270 | loss 6.2913 | lr 3.00e-04 | grad 1.17 | tok/s 50187 | elapsed_h 0.151 | time 2026-06-07T15:54:24+00:00
step   1280 | loss 6.2504 | lr 3.00e-04 | grad 1.20 | tok/s 50281 | elapsed_h 0.151 | time 2026-06-07T15:54:26+00:00
step   1290 | loss 6.1836 | lr 3.00e-04 | grad 1.16 | tok/s 50351 | elapsed_h 0.152 | time 2026-06-07T15:54:27+00:00
step   1300 | loss 6.2547 | lr 3.00e-04 | grad 1.30 | tok/s 50199 | elapsed_h 0.152 | time 2026-06-07T15:54:29+00:00
step   1310 | loss 6.1272 | lr 3.00e-04 | grad 1.23 | tok/s 50230 | elapsed_h 0.152 | time 2026-06-07T15:54:31+00:00
step   1320 | loss 6.1455 | lr 3.00e-04 | grad 1.30 | tok/s 50201 | elapsed_h 0.153 | time 2026-06-07T15:54:32+00:00
step   1330 | loss 6.0694 | lr 3.00e-04 | grad 1.35 | tok/s 50126 | elapsed_h 0.153 | time 2026-06-07T15:54:34+00:00
step   1340 | loss 6.1961 | lr 3.00e-04 | grad 1.20 | tok/s 50115 | elapsed_h 0.154 | time 2026-06-07T15:54:36+00:00
