Using device: cuda
Output directory: paper/review/wl_lm/raw_gdnneg/leveltyped-gdn2-lm_100m_20260607_154535
Auto r_h_mode: none (level 0 has bounded/no W_h)
Tokenizer: p50k_base, vocab_size=50281
Model: Level typed-gdn2-lm, 145,579,008 parameters
Using schedule-free AdamW (lr=0.0003)

Starting training from step 0...
Batch size: 16, Chunk size: 512
Gradient accumulation: 1, Effective batch: 16

Time-based training: 17.5 min budget (from process start). Init took 10.0s, 1040.0s remaining for training.
step   1030 | loss 6.4533 | lr 3.00e-04 | grad 1.37 | tok/s 49067 | elapsed_h 0.142 | time 2026-06-07T15:53:58+00:00
step   1040 | loss 6.5046 | lr 3.00e-04 | grad 1.30 | tok/s 48474 | elapsed_h 0.142 | time 2026-06-07T15:54:00+00:00
step   1050 | loss 6.5160 | lr 3.00e-04 | grad 1.27 | tok/s 48783 | elapsed_h 0.143 | time 2026-06-07T15:54:02+00:00
step   1060 | loss 6.4484 | lr 3.00e-04 | grad 1.27 | tok/s 48630 | elapsed_h 0.143 | time 2026-06-07T15:54:03+00:00
step   1070 | loss 6.4083 | lr 3.00e-04 | grad 1.32 | tok/s 48789 | elapsed_h 0.144 | time 2026-06-07T15:54:05+00:00
step   1080 | loss 6.4165 | lr 3.00e-04 | grad 1.28 | tok/s 48731 | elapsed_h 0.144 | time 2026-06-07T15:54:07+00:00
step   1090 | loss 6.4910 | lr 3.00e-04 | grad 1.48 | tok/s 48702 | elapsed_h 0.145 | time 2026-06-07T15:54:08+00:00
step   1100 | loss 6.4553 | lr 3.00e-04 | grad 1.35 | tok/s 48754 | elapsed_h 0.145 | time 2026-06-07T15:54:10+00:00
step   1110 | loss 6.3821 | lr 3.00e-04 | grad 1.21 | tok/s 48463 | elapsed_h 0.146 | time 2026-06-07T15:54:12+00:00
step   1120 | loss 6.3207 | lr 3.00e-04 | grad 1.31 | tok/s 48565 | elapsed_h 0.146 | time 2026-06-07T15:54:13+00:00
step   1130 | loss 6.3879 | lr 3.00e-04 | grad 1.34 | tok/s 48501 | elapsed_h 0.147 | time 2026-06-07T15:54:15+00:00
step   1140 | loss 6.4249 | lr 3.00e-04 | grad 1.45 | tok/s 48419 | elapsed_h 0.147 | time 2026-06-07T15:54:17+00:00
step   1150 | loss 6.4703 | lr 3.00e-04 | grad 1.30 | tok/s 48527 | elapsed_h 0.148 | time 2026-06-07T15:54:19+00:00
step   1160 | loss 6.3447 | lr 3.00e-04 | grad 1.23 | tok/s 48419 | elapsed_h 0.148 | time 2026-06-07T15:54:20+00:00
step   1170 | loss 6.3469 | lr 3.00e-04 | grad 1.17 | tok/s 48316 | elapsed_h 0.149 | time 2026-06-07T15:54:22+00:00
step   1180 | loss 6.4190 | lr 3.00e-04 | grad 1.30 | tok/s 48373 | elapsed_h 0.149 | time 2026-06-07T15:54:24+00:00
