Using device: cuda
Output directory: paper/review/wl_lm/delta_none/leveltyped-gdn2-lm_100m_20260607_154539
Auto r_h_mode: none (level 0 has bounded/no W_h)
Tokenizer: p50k_base, vocab_size=50281
Model: Level typed-gdn2-lm, 159,402,624 parameters
Using schedule-free AdamW (lr=0.0003)

Starting training from step 0...
Batch size: 16, Chunk size: 512
Gradient accumulation: 1, Effective batch: 16

Time-based training: 17.5 min budget (from process start). Init took 9.4s, 1040.6s remaining for training.
step    730 | loss 6.1843 | lr 3.00e-04 | grad 1.63 | tok/s 40814 | elapsed_h 0.102 | time 2026-06-07T15:51:39+00:00
step    740 | loss 6.1662 | lr 3.00e-04 | grad 1.86 | tok/s 40770 | elapsed_h 0.102 | time 2026-06-07T15:51:41+00:00
step    750 | loss 6.1001 | lr 3.00e-04 | grad 1.76 | tok/s 40581 | elapsed_h 0.103 | time 2026-06-07T15:51:43+00:00
step    760 | loss 6.1609 | lr 3.00e-04 | grad 1.80 | tok/s 40679 | elapsed_h 0.104 | time 2026-06-07T15:51:45+00:00
step    770 | loss 6.0935 | lr 3.00e-04 | grad 1.90 | tok/s 40619 | elapsed_h 0.104 | time 2026-06-07T15:51:47+00:00
step    780 | loss 6.2090 | lr 3.00e-04 | grad 1.84 | tok/s 40676 | elapsed_h 0.105 | time 2026-06-07T15:51:49+00:00
step    790 | loss 6.0492 | lr 3.00e-04 | grad 2.11 | tok/s 40472 | elapsed_h 0.105 | time 2026-06-07T15:51:51+00:00
step    800 | loss 6.1870 | lr 3.00e-04 | grad 2.17 | tok/s 40540 | elapsed_h 0.106 | time 2026-06-07T15:51:53+00:00
step    810 | loss 6.1076 | lr 3.00e-04 | grad 1.77 | tok/s 40464 | elapsed_h 0.106 | time 2026-06-07T15:51:55+00:00
step    820 | loss 6.0981 | lr 3.00e-04 | grad 2.17 | tok/s 40456 | elapsed_h 0.107 | time 2026-06-07T15:51:57+00:00
step    830 | loss 6.0813 | lr 3.00e-04 | grad 2.05 | tok/s 40471 | elapsed_h 0.108 | time 2026-06-07T15:51:59+00:00
step    840 | loss 6.1270 | lr 3.00e-04 | grad 2.03 | tok/s 40330 | elapsed_h 0.108 | time 2026-06-07T15:52:01+00:00
