Using device: cuda
Output directory: paper/review/wl_lm/gdn2_mlp_ref/leveltyped-gdn2-lm_100m_20260607_154554
Auto r_h_mode: none (level 0 has bounded/no W_h)
Tokenizer: p50k_base, vocab_size=50281
Model: Level typed-gdn2-lm, 131,755,008 parameters
Using schedule-free AdamW (lr=0.0003)

Starting training from step 0...
Batch size: 16, Chunk size: 512
Gradient accumulation: 1, Effective batch: 16

Time-based training: 17.5 min budget (from process start). Init took 10.0s, 1040.0s remaining for training.
step    830 | loss 6.9589 | lr 3.00e-04 | grad 2.41 | tok/s 61068 | elapsed_h 0.045 | time 2026-06-07T15:48:28+00:00
step    840 | loss 6.8941 | lr 3.00e-04 | grad 2.50 | tok/s 60955 | elapsed_h 0.045 | time 2026-06-07T15:48:29+00:00
step    850 | loss 6.9239 | lr 3.00e-04 | grad 2.20 | tok/s 60985 | elapsed_h 0.045 | time 2026-06-07T15:48:30+00:00
step    860 | loss 6.8308 | lr 3.00e-04 | grad 2.20 | tok/s 60906 | elapsed_h 0.046 | time 2026-06-07T15:48:32+00:00
step    870 | loss 6.8565 | lr 3.00e-04 | grad 2.17 | tok/s 61011 | elapsed_h 0.046 | time 2026-06-07T15:48:33+00:00
step    880 | loss 6.8134 | lr 3.00e-04 | grad 2.11 | tok/s 61183 | elapsed_h 0.046 | time 2026-06-07T15:48:34+00:00
step    890 | loss 6.8311 | lr 3.00e-04 | grad 2.25 | tok/s 61023 | elapsed_h 0.047 | time 2026-06-07T15:48:36+00:00
step    900 | loss 6.8454 | lr 3.00e-04 | grad 2.28 | tok/s 61046 | elapsed_h 0.047 | time 2026-06-07T15:48:37+00:00
step    910 | loss 6.8486 | lr 3.00e-04 | grad 2.44 | tok/s 61260 | elapsed_h 0.048 | time 2026-06-07T15:48:38+00:00
step    920 | loss 6.8691 | lr 3.00e-04 | grad 2.05 | tok/s 61062 | elapsed_h 0.048 | time 2026-06-07T15:48:40+00:00
step    930 | loss 6.7858 | lr 3.00e-04 | grad 2.31 | tok/s 61259 | elapsed_h 0.048 | time 2026-06-07T15:48:41+00:00
step    940 | loss 6.8422 | lr 3.00e-04 | grad 2.17 | tok/s 61180 | elapsed_h 0.049 | time 2026-06-07T15:48:42+00:00
step    950 | loss 6.8108 | lr 3.00e-04 | grad 2.06 | tok/s 60913 | elapsed_h 0.049 | time 2026-06-07T15:48:44+00:00
step    960 | loss 6.8555 | lr 3.00e-04 | grad 2.25 | tok/s 60956 | elapsed_h 0.049 | time 2026-06-07T15:48:45+00:00
step    970 | loss 6.7927 | lr 3.00e-04 | grad 2.27 | tok/s 51000 | elapsed_h 0.050 | time 2026-06-07T15:48:47+00:00
step    980 | loss 6.8043 | lr 3.00e-04 | grad 2.08 | tok/s 61324 | elapsed_h 0.050 | time 2026-06-07T15:48:48+00:00
step    990 | loss 6.8041 | lr 3.00e-04 | grad 2.03 | tok/s 61094 | elapsed_h 0.051 | time 2026-06-07T15:48:49+00:00
step   1000 | loss 6.7624 | lr 3.00e-04 | grad 2.11 | tok/s 61038 | elapsed_h 0.051 | time 2026-06-07T15:48:51+00:00
  >>> validation loss: 9.0787
step   1010 | loss 6.8028 | lr 3.00e-04 | grad 2.05 | tok/s 15272 | elapsed_h 0.053 | time 2026-06-07T15:48:56+00:00
step   1020 | loss 6.7643 | lr 3.00e-04 | grad 2.20 | tok/s 60968 | elapsed_h 0.053 | time 2026-06-07T15:48:58+00:00
step   1030 | loss 6.7621 | lr 3.00e-04 | grad 2.62 | tok/s 60942 | elapsed_h 0.053 | time 2026-06-07T15:48:59+00:00
step   1040 | loss 6.7940 | lr 3.00e-04 | grad 2.36 | tok/s 61068 | elapsed_h 0.054 | time 2026-06-07T15:49:00+00:00
step   1050 | loss 6.7809 | lr 3.00e-04 | grad 2.33 | tok/s 60834 | elapsed_h 0.054 | time 2026-06-07T15:49:02+00:00
step   1060 | loss 6.7939 | lr 3.00e-04 | grad 2.11 | tok/s 60764 | elapsed_h 0.054 | time 2026-06-07T15:49:03+00:00
step   1070 | loss 6.7296 | lr 3.00e-04 | grad 2.08 | tok/s 61013 | elapsed_h 0.055 | time 2026-06-07T15:49:04+00:00
step   1080 | loss 6.6959 | lr 3.00e-04 | grad 2.16 | tok/s 60971 | elapsed_h 0.055 | time 2026-06-07T15:49:06+00:00
step   1090 | loss 6.7263 | lr 3.00e-04 | grad 2.03 | tok/s 60810 | elapsed_h 0.056 | time 2026-06-07T15:49:07+00:00
step   1100 | loss 6.7006 | lr 3.00e-04 | grad 2.16 | tok/s 60818 | elapsed_h 0.056 | time 2026-06-07T15:49:08+00:00
step   1110 | loss 6.7609 | lr 3.00e-04 | grad 2.14 | tok/s 60925 | elapsed_h 0.056 | time 2026-06-07T15:49:10+00:00
step   1120 | loss 6.8003 | lr 3.00e-04 | grad 2.23 | tok/s 61022 | elapsed_h 0.057 | time 2026-06-07T15:49:11+00:00
step   1130 | loss 6.7049 | lr 3.00e-04 | grad 2.08 | tok/s 60754 | elapsed_h 0.057 | time 2026-06-07T15:49:12+00:00
step   1140 | loss 6.6866 | lr 3.00e-04 | grad 2.12 | tok/s 60722 | elapsed_h 0.057 | time 2026-06-07T15:49:14+00:00
step   1150 | loss 6.7102 | lr 3.00e-04 | grad 1.99 | tok/s 60582 | elapsed_h 0.058 | time 2026-06-07T15:49:15+00:00
step   1160 | loss 6.6535 | lr 3.00e-04 | grad 2.08 | tok/s 60860 | elapsed_h 0.058 | time 2026-06-07T15:49:17+00:00
step   1170 | loss 6.6633 | lr 3.00e-04 | grad 2.16 | tok/s 60867 | elapsed_h 0.059 | time 2026-06-07T15:49:18+00:00
step   1180 | loss 6.6168 | lr 3.00e-04 | grad 1.88 | tok/s 60742 | elapsed_h 0.059 | time 2026-06-07T15:49:19+00:00
step   1190 | loss 6.6551 | lr 3.00e-04 | grad 2.02 | tok/s 60764 | elapsed_h 0.059 | time 2026-06-07T15:49:21+00:00
step   1200 | loss 6.6357 | lr 3.00e-04 | grad 2.06 | tok/s 60906 | elapsed_h 0.060 | time 2026-06-07T15:49:22+00:00
step   1210 | loss 6.5971 | lr 3.00e-04 | grad 2.02 | tok/s 60949 | elapsed_h 0.060 | time 2026-06-07T15:49:23+00:00
step   1220 | loss 6.6139 | lr 3.00e-04 | grad 2.25 | tok/s 60781 | elapsed_h 0.060 | time 2026-06-07T15:49:25+00:00
step   1230 | loss 6.6598 | lr 3.00e-04 | grad 1.91 | tok/s 60584 | elapsed_h 0.061 | time 2026-06-07T15:49:26+00:00
step   1240 | loss 6.6821 | lr 3.00e-04 | grad 2.00 | tok/s 60783 | elapsed_h 0.061 | time 2026-06-07T15:49:27+00:00
step   1250 | loss 6.6370 | lr 3.00e-04 | grad 1.89 | tok/s 60798 | elapsed_h 0.062 | time 2026-06-07T15:49:29+00:00
step   1260 | loss 6.6876 | lr 3.00e-04 | grad 2.05 | tok/s 60625 | elapsed_h 0.062 | time 2026-06-07T15:49:30+00:00
step   1270 | loss 6.6649 | lr 3.00e-04 | grad 2.08 | tok/s 60803 | elapsed_h 0.062 | time 2026-06-07T15:49:31+00:00
step   1280 | loss 6.5856 | lr 3.00e-04 | grad 1.90 | tok/s 60668 | elapsed_h 0.063 | time 2026-06-07T15:49:33+00:00
