Using device: cuda
Output directory: paper/review/wl_lm/delta_gdn/leveltyped-gdn2-lm_100m_20260607_154543
Auto r_h_mode: none (level 0 has bounded/no W_h)
Tokenizer: p50k_base, vocab_size=50281
Model: Level typed-gdn2-lm, 145,579,008 parameters
Using schedule-free AdamW (lr=0.0003)

Starting training from step 0...
Batch size: 16, Chunk size: 512
Gradient accumulation: 1, Effective batch: 16

Time-based training: 17.5 min budget (from process start). Init took 8.9s, 1041.1s remaining for training.
step    980 | loss 6.5097 | lr 3.00e-04 | grad 1.21 | tok/s 45279 | elapsed_h 0.112 | time 2026-06-07T15:52:19+00:00
step    990 | loss 6.4633 | lr 3.00e-04 | grad 1.30 | tok/s 45289 | elapsed_h 0.112 | time 2026-06-07T15:52:21+00:00
step   1000 | loss 6.4043 | lr 3.00e-04 | grad 1.37 | tok/s 45317 | elapsed_h 0.113 | time 2026-06-07T15:52:23+00:00
  >>> validation loss: 8.9581
step   1010 | loss 6.5070 | lr 3.00e-04 | grad 1.17 | tok/s 403 | elapsed_h 0.169 | time 2026-06-07T15:55:47+00:00
step   1020 | loss 6.3741 | lr 3.00e-04 | grad 1.41 | tok/s 45752 | elapsed_h 0.170 | time 2026-06-07T15:55:48+00:00
step   1030 | loss 6.4023 | lr 3.00e-04 | grad 1.36 | tok/s 45788 | elapsed_h 0.170 | time 2026-06-07T15:55:50+00:00
step   1040 | loss 6.3887 | lr 3.00e-04 | grad 1.37 | tok/s 45793 | elapsed_h 0.171 | time 2026-06-07T15:55:52+00:00
step   1050 | loss 6.4835 | lr 3.00e-04 | grad 1.34 | tok/s 45742 | elapsed_h 0.171 | time 2026-06-07T15:55:54+00:00
step   1060 | loss 6.4718 | lr 3.00e-04 | grad 1.48 | tok/s 45765 | elapsed_h 0.172 | time 2026-06-07T15:55:56+00:00
step   1070 | loss 6.3787 | lr 3.00e-04 | grad 1.23 | tok/s 45776 | elapsed_h 0.172 | time 2026-06-07T15:55:57+00:00
step   1080 | loss 6.4251 | lr 3.00e-04 | grad 1.30 | tok/s 45281 | elapsed_h 0.173 | time 2026-06-07T15:55:59+00:00
step   1090 | loss 6.4213 | lr 3.00e-04 | grad 1.34 | tok/s 45601 | elapsed_h 0.173 | time 2026-06-07T15:56:01+00:00
step   1100 | loss 6.4479 | lr 3.00e-04 | grad 1.20 | tok/s 45542 | elapsed_h 0.174 | time 2026-06-07T15:56:03+00:00
step   1110 | loss 6.3894 | lr 3.00e-04 | grad 1.19 | tok/s 45255 | elapsed_h 0.174 | time 2026-06-07T15:56:05+00:00
step   1120 | loss 6.4854 | lr 3.00e-04 | grad 1.55 | tok/s 45288 | elapsed_h 0.175 | time 2026-06-07T15:56:07+00:00
step   1130 | loss 6.3626 | lr 3.00e-04 | grad 1.27 | tok/s 45515 | elapsed_h 0.175 | time 2026-06-07T15:56:08+00:00
step   1140 | loss 6.3990 | lr 3.00e-04 | grad 1.34 | tok/s 45562 | elapsed_h 0.176 | time 2026-06-07T15:56:10+00:00
step   1150 | loss 6.3539 | lr 3.00e-04 | grad 1.29 | tok/s 45879 | elapsed_h 0.176 | time 2026-06-07T15:56:12+00:00
step   1160 | loss 6.3821 | lr 3.00e-04 | grad 1.20 | tok/s 45799 | elapsed_h 0.177 | time 2026-06-07T15:56:14+00:00
step   1170 | loss 6.5073 | lr 3.00e-04 | grad 1.48 | tok/s 45781 | elapsed_h 0.177 | time 2026-06-07T15:56:16+00:00
step   1180 | loss 6.4899 | lr 3.00e-04 | grad 1.63 | tok/s 45822 | elapsed_h 0.178 | time 2026-06-07T15:56:17+00:00
step   1190 | loss 6.3999 | lr 3.00e-04 | grad 1.23 | tok/s 45798 | elapsed_h 0.178 | time 2026-06-07T15:56:19+00:00
step   1200 | loss 6.4583 | lr 3.00e-04 | grad 1.31 | tok/s 45800 | elapsed_h 0.179 | time 2026-06-07T15:56:21+00:00
step   1210 | loss 6.3079 | lr 3.00e-04 | grad 1.27 | tok/s 45798 | elapsed_h 0.179 | time 2026-06-07T15:56:23+00:00
step   1220 | loss 6.3539 | lr 3.00e-04 | grad 1.23 | tok/s 45802 | elapsed_h 0.180 | time 2026-06-07T15:56:25+00:00
step   1230 | loss 6.3101 | lr 3.00e-04 | grad 1.37 | tok/s 45781 | elapsed_h 0.180 | time 2026-06-07T15:56:26+00:00
step   1240 | loss 6.3106 | lr 3.00e-04 | grad 1.21 | tok/s 45805 | elapsed_h 0.181 | time 2026-06-07T15:56:28+00:00
step   1250 | loss 6.4268 | lr 3.00e-04 | grad 1.56 | tok/s 45747 | elapsed_h 0.181 | time 2026-06-07T15:56:30+00:00
step   1260 | loss 6.3264 | lr 3.00e-04 | grad 1.13 | tok/s 45806 | elapsed_h 0.182 | time 2026-06-07T15:56:32+00:00
step   1270 | loss 6.2542 | lr 3.00e-04 | grad 1.65 | tok/s 45769 | elapsed_h 0.182 | time 2026-06-07T15:56:34+00:00
step   1280 | loss 6.3103 | lr 3.00e-04 | grad 1.51 | tok/s 45777 | elapsed_h 0.183 | time 2026-06-07T15:56:35+00:00
step   1290 | loss 6.3761 | lr 3.00e-04 | grad 1.37 | tok/s 45800 | elapsed_h 0.183 | time 2026-06-07T15:56:37+00:00
step   1300 | loss 6.3899 | lr 3.00e-04 | grad 1.30 | tok/s 45772 | elapsed_h 0.184 | time 2026-06-07T15:56:39+00:00
step   1310 | loss 6.2753 | lr 3.00e-04 | grad 1.15 | tok/s 45336 | elapsed_h 0.184 | time 2026-06-07T15:56:41+00:00
step   1320 | loss 6.3327 | lr 3.00e-04 | grad 1.34 | tok/s 45304 | elapsed_h 0.185 | time 2026-06-07T15:56:43+00:00
step   1330 | loss 6.2989 | lr 3.00e-04 | grad 1.46 | tok/s 45743 | elapsed_h 0.185 | time 2026-06-07T15:56:44+00:00
step   1340 | loss 6.3357 | lr 3.00e-04 | grad 1.23 | tok/s 45303 | elapsed_h 0.186 | time 2026-06-07T15:56:46+00:00
step   1350 | loss 6.3650 | lr 3.00e-04 | grad 1.38 | tok/s 45300 | elapsed_h 0.186 | time 2026-06-07T15:56:48+00:00
step   1360 | loss 6.3855 | lr 3.00e-04 | grad 1.59 | tok/s 45292 | elapsed_h 0.187 | time 2026-06-07T15:56:50+00:00
step   1370 | loss 6.3313 | lr 3.00e-04 | grad 1.31 | tok/s 45296 | elapsed_h 0.187 | time 2026-06-07T15:56:52+00:00
step   1380 | loss 6.2647 | lr 3.00e-04 | grad 1.34 | tok/s 45277 | elapsed_h 0.188 | time 2026-06-07T15:56:53+00:00
step   1390 | loss 6.2873 | lr 3.00e-04 | grad 1.43 | tok/s 45297 | elapsed_h 0.188 | time 2026-06-07T15:56:55+00:00
step   1400 | loss 6.3478 | lr 3.00e-04 | grad 1.09 | tok/s 45294 | elapsed_h 0.189 | time 2026-06-07T15:56:57+00:00
step   1410 | loss 6.2811 | lr 3.00e-04 | grad 1.19 | tok/s 45303 | elapsed_h 0.189 | time 2026-06-07T15:56:59+00:00
step   1420 | loss 6.2365 | lr 3.00e-04 | grad 1.38 | tok/s 45298 | elapsed_h 0.190 | time 2026-06-07T15:57:01+00:00
step   1430 | loss 6.1801 | lr 3.00e-04 | grad 1.27 | tok/s 45265 | elapsed_h 0.190 | time 2026-06-07T15:57:03+00:00
step   1440 | loss 6.2569 | lr 3.00e-04 | grad 1.38 | tok/s 45312 | elapsed_h 0.191 | time 2026-06-07T15:57:04+00:00
step   1450 | loss 6.3316 | lr 3.00e-04 | grad 1.30 | tok/s 45266 | elapsed_h 0.191 | time 2026-06-07T15:57:06+00:00
step   1460 | loss 6.1707 | lr 3.00e-04 | grad 1.23 | tok/s 45296 | elapsed_h 0.192 | time 2026-06-07T15:57:08+00:00
step   1470 | loss 6.1381 | lr 3.00e-04 | grad 1.27 | tok/s 45279 | elapsed_h 0.192 | time 2026-06-07T15:57:10+00:00
step   1480 | loss 6.2125 | lr 3.00e-04 | grad 1.30 | tok/s 45352 | elapsed_h 0.193 | time 2026-06-07T15:57:12+00:00
step   1490 | loss 6.2910 | lr 3.00e-04 | grad 1.48 | tok/s 45301 | elapsed_h 0.193 | time 2026-06-07T15:57:13+00:00
step   1500 | loss 6.1728 | lr 3.00e-04 | grad 1.19 | tok/s 45293 | elapsed_h 0.194 | time 2026-06-07T15:57:15+00:00
  >>> validation loss: 8.7616
step   1510 | loss 6.2695 | lr 3.00e-04 | grad 1.37 | tok/s 403 | elapsed_h 0.251 | time 2026-06-07T16:00:39+00:00
step   1520 | loss 6.2632 | lr 3.00e-04 | grad 1.28 | tok/s 45856 | elapsed_h 0.251 | time 2026-06-07T16:00:41+00:00
step   1530 | loss 6.2857 | lr 3.00e-04 | grad 1.22 | tok/s 45792 | elapsed_h 0.252 | time 2026-06-07T16:00:43+00:00
step   1540 | loss 6.1808 | lr 3.00e-04 | grad 1.29 | tok/s 45791 | elapsed_h 0.252 | time 2026-06-07T16:00:45+00:00
step   1550 | loss 6.1807 | lr 3.00e-04 | grad 1.40 | tok/s 45794 | elapsed_h 0.253 | time 2026-06-07T16:00:46+00:00
step   1560 | loss 6.2441 | lr 3.00e-04 | grad 1.26 | tok/s 45787 | elapsed_h 0.253 | time 2026-06-07T16:00:48+00:00
step   1570 | loss 6.2281 | lr 3.00e-04 | grad 1.80 | tok/s 45792 | elapsed_h 0.254 | time 2026-06-07T16:00:50+00:00
step   1580 | loss 6.1832 | lr 3.00e-04 | grad 1.32 | tok/s 45997 | elapsed_h 0.254 | time 2026-06-07T16:00:52+00:00
step   1590 | loss 6.2218 | lr 3.00e-04 | grad 1.47 | tok/s 45608 | elapsed_h 0.255 | time 2026-06-07T16:00:54+00:00
step   1600 | loss 6.2376 | lr 3.00e-04 | grad 1.17 | tok/s 45792 | elapsed_h 0.255 | time 2026-06-07T16:00:55+00:00
step   1610 | loss 6.2048 | lr 3.00e-04 | grad 1.31 | tok/s 45797 | elapsed_h 0.256 | time 2026-06-07T16:00:57+00:00
step   1620 | loss 6.1060 | lr 3.00e-04 | grad 1.40 | tok/s 45203 | elapsed_h 0.256 | time 2026-06-07T16:00:59+00:00
step   1630 | loss 6.1764 | lr 3.00e-04 | grad 1.16 | tok/s 45339 | elapsed_h 0.257 | time 2026-06-07T16:01:01+00:00
step   1640 | loss 6.2289 | lr 3.00e-04 | grad 1.21 | tok/s 45828 | elapsed_h 0.257 | time 2026-06-07T16:01:03+00:00
step   1650 | loss 6.2068 | lr 3.00e-04 | grad 1.34 | tok/s 45602 | elapsed_h 0.258 | time 2026-06-07T16:01:04+00:00
step   1660 | loss 6.2249 | lr 3.00e-04 | grad 1.17 | tok/s 45361 | elapsed_h 0.258 | time 2026-06-07T16:01:06+00:00
step   1670 | loss 6.2464 | lr 3.00e-04 | grad 1.60 | tok/s 45410 | elapsed_h 0.259 | time 2026-06-07T16:01:08+00:00
step   1680 | loss 6.1879 | lr 3.00e-04 | grad 1.37 | tok/s 45745 | elapsed_h 0.259 | time 2026-06-07T16:01:10+00:00
step   1690 | loss 6.1047 | lr 3.00e-04 | grad 1.38 | tok/s 45270 | elapsed_h 0.260 | time 2026-06-07T16:01:12+00:00
step   1700 | loss 6.1100 | lr 3.00e-04 | grad 1.32 | tok/s 45327 | elapsed_h 0.260 | time 2026-06-07T16:01:13+00:00
step   1710 | loss 6.1870 | lr 3.00e-04 | grad 1.53 | tok/s 45794 | elapsed_h 0.261 | time 2026-06-07T16:01:15+00:00
step   1720 | loss 6.0970 | lr 3.00e-04 | grad 1.22 | tok/s 45776 | elapsed_h 0.261 | time 2026-06-07T16:01:17+00:00
step   1730 | loss 6.1261 | lr 3.00e-04 | grad 1.27 | tok/s 45653 | elapsed_h 0.262 | time 2026-06-07T16:01:19+00:00
step   1740 | loss 6.1845 | lr 3.00e-04 | grad 1.19 | tok/s 45323 | elapsed_h 0.262 | time 2026-06-07T16:01:21+00:00
step   1750 | loss 6.1281 | lr 3.00e-04 | grad 1.31 | tok/s 45429 | elapsed_h 0.263 | time 2026-06-07T16:01:23+00:00
step   1760 | loss 6.1299 | lr 3.00e-04 | grad 1.30 | tok/s 45559 | elapsed_h 0.263 | time 2026-06-07T16:01:24+00:00
