step,tokens,flops,loss_nats_raw,loss_nats_smooth50,bits_per_token_smooth50,flops_per_bit_reduction
1900,7782400,2.33481e+16,1.3648,1.4174,2.0449,1.72029e+15
1910,7823360,2.3471e+16,1.4239,1.4175,2.0450,1.72937e+15
1920,7864320,2.35938e+16,1.3716,1.4119,2.0370,1.73739e+15
1930,7905280,2.37167e+16,1.4210,1.4133,2.0390,1.7467e+15
1940,7946240,2.38396e+16,1.4075,1.4189,2.0470,1.75679e+15
1950,7987200,2.39625e+16,1.8068,1.4321,2.0661,1.76833e+15
1960,8028160,2.40854e+16,1.4436,1.4284,2.0607,1.77669e+15
1970,8069120,2.42083e+16,1.4884,1.4281,2.0604,1.78571e+15
1980,8110080,2.43312e+16,1.5068,1.4228,2.0527,1.79376e+15
1990,8151040,2.4454e+16,1.5210,1.4223,2.0520,1.80272e+15
2000,8192000,2.45769e+16,1.4509,1.4244,2.0549,1.81217e+15
2010,8232960,2.46998e+16,1.0915,1.4160,2.0428,1.81961e+15
2020,8273920,2.48227e+16,1.2753,1.4136,2.0394,1.8282e+15
2030,8314880,2.49456e+16,1.0966,1.4075,2.0305,1.83606e+15
2040,8355840,2.50685e+16,1.2231,1.4009,2.0210,1.84381e+15
2050,8396800,2.51913e+16,1.1821,1.3985,2.0177,1.85239e+15
2060,8437760,2.53142e+16,1.5153,1.3977,2.0165,1.86126e+15
2070,8478720,2.54371e+16,1.6223,1.4044,2.0261,1.87162e+15
2080,8519680,2.556e+16,2.1481,1.4139,2.0399,1.88258e+15
2090,8560640,2.56829e+16,1.6900,1.4163,2.0433,1.8921e+15
2100,8601600,2.58058e+16,1.3629,1.4233,2.0534,1.90257e+15
2110,8642560,2.59287e+16,1.5099,1.4332,2.0677,1.91364e+15
2120,8683520,2.60515e+16,0.9046,1.4232,2.0532,1.92066e+15
2130,8724480,2.61744e+16,1.0433,1.4161,2.0430,1.92827e+15
2140,8765440,2.62973e+16,1.5205,1.4200,2.0486,1.93813e+15
2150,8806400,2.64202e+16,1.2589,1.4155,2.0422,1.94626e+15
2160,8847360,2.65431e+16,1.1660,1.4110,2.0356,1.95436e+15
2170,8888320,2.6666e+16,1.2103,1.4073,2.0303,1.96264e+15
