step,tokens,flops,loss_nats_raw,loss_nats_smooth50,bits_per_token_smooth50,flops_per_bit_reduction
1650,6758400,2.00382e+16,1.3522,1.3415,1.9354,1.46461e+15
1660,6799360,2.01596e+16,1.1852,1.3420,1.9362,1.47356e+15
1670,6840320,2.02811e+16,1.6413,1.3495,1.9469,1.4836e+15
1680,6881280,2.04025e+16,1.3425,1.3533,1.9524,1.49309e+15
1690,6922240,2.05239e+16,1.3479,1.3578,1.9590,1.5027e+15
1700,6963200,2.06454e+16,1.3150,1.3605,1.9627,1.51201e+15
1710,7004160,2.07668e+16,1.4369,1.3647,1.9689,1.52158e+15
1720,7045120,2.08883e+16,1.1794,1.3648,1.9690,1.5305e+15
1730,7086080,2.10097e+16,1.1315,1.3644,1.9684,1.53932e+15
1740,7127040,2.11312e+16,1.4768,1.3621,1.9651,1.54785e+15
1750,7168000,2.12526e+16,1.4043,1.3609,1.9634,1.55655e+15
1760,7208960,2.13741e+16,1.3924,1.3625,1.9657,1.56571e+15
1770,7249920,2.14955e+16,1.4003,1.3579,1.9590,1.57384e+15
1780,7290880,2.16169e+16,1.3500,1.3571,1.9579,1.5826e+15
1790,7331840,2.17384e+16,1.4252,1.3576,1.9587,1.59158e+15
1800,7372800,2.18598e+16,1.3565,1.3577,1.9588,1.60048e+15
1810,7413760,2.19813e+16,1.3596,1.3552,1.9552,1.60895e+15
1820,7454720,2.21027e+16,1.3017,1.3500,1.9476,1.61695e+15
1830,7495680,2.22242e+16,1.4370,1.3547,1.9544,1.62664e+15
1840,7536640,2.23456e+16,1.2746,1.3467,1.9429,1.63416e+15
1850,7577600,2.2467e+16,1.1780,1.3422,1.9364,1.64225e+15
1860,7618560,2.25885e+16,1.3475,1.3417,1.9357,1.65105e+15
1870,7659520,2.27099e+16,1.1041,1.3343,1.9250,1.65862e+15
1880,7700480,2.28314e+16,1.3704,1.3339,1.9244,1.66741e+15
1890,7741440,2.29528e+16,1.3473,1.3339,1.9243,1.67628e+15
1900,7782400,2.30743e+16,1.3253,1.3353,1.9264,1.68541e+15
1910,7823360,2.31957e+16,1.3635,1.3327,1.9226,1.69381e+15
1920,7864320,2.33171e+16,1.3036,1.3323,1.9222,1.70262e+15
1930,7905280,2.34386e+16,1.3801,1.3370,1.9289,1.71233e+15
1940,7946240,2.356e+16,1.7439,1.3510,1.9491,1.72374e+15
1950,7987200,2.36815e+16,1.3739,1.3491,1.9464,1.73229e+15
1960,8028160,2.38029e+16,1.4471,1.3496,1.9471,1.74126e+15
1970,8069120,2.39244e+16,1.3779,1.3447,1.9400,1.74923e+15
1980,8110080,2.40458e+16,1.3648,1.3413,1.9351,1.75748e+15
1990,8151040,2.41673e+16,1.5040,1.3455,1.9412,1.76715e+15
2000,8192000,2.42887e+16,1.1435,1.3405,1.9340,1.7751e+15
2010,8232960,2.44101e+16,1.1436,1.3372,1.9291,1.78334e+15
2020,8273920,2.45316e+16,1.1864,1.3334,1.9236,1.79149e+15
2030,8314880,2.4653e+16,0.9919,1.3252,1.9119,1.79882e+15
2040,8355840,2.47745e+16,1.1152,1.3213,1.9062,1.80692e+15
2050,8396800,2.48959e+16,1.3880,1.3205,1.9051,1.81563e+15
2060,8437760,2.50174e+16,1.6319,1.3279,1.9158,1.82592e+15
2070,8478720,2.51388e+16,1.9198,1.3366,1.9283,1.83647e+15
2080,8519680,2.52602e+16,1.6734,1.3393,1.9322,1.84586e+15
2090,8560640,2.53817e+16,1.3050,1.3442,1.9392,1.85568e+15
2100,8601600,2.55031e+16,1.3444,1.3542,1.9536,1.86653e+15
2110,8642560,2.56246e+16,1.0553,1.3494,1.9468,1.87447e+15
