step,tokens,flops,loss_nats_raw,loss_nats_smooth50,bits_per_token_smooth50,flops_per_bit_reduction
1690,6922240,2.02977e+16,1.3700,1.3639,1.9677,1.48708e+15
1700,6963200,2.04178e+16,1.3814,1.3687,1.9746,1.49664e+15
1710,7004160,2.05379e+16,1.3074,1.3709,1.9778,1.5058e+15
1720,7045120,2.0658e+16,1.3998,1.3745,1.9830,1.51518e+15
1730,7086080,2.07781e+16,1.1083,1.3732,1.9810,1.52377e+15
1740,7127040,2.08982e+16,1.2158,1.3745,1.9830,1.5328e+15
1750,7168000,2.10183e+16,1.5075,1.3717,1.9789,1.54114e+15
1760,7208960,2.11384e+16,1.4549,1.3747,1.9833,1.55045e+15
1770,7249920,2.12585e+16,1.3558,1.3706,1.9774,1.55858e+15
1780,7290880,2.13786e+16,1.4298,1.3681,1.9737,1.56697e+15
1790,7331840,2.14987e+16,1.3063,1.3663,1.9711,1.57547e+15
1800,7372800,2.16188e+16,1.5276,1.3680,1.9736,1.58456e+15
1810,7413760,2.17389e+16,1.3340,1.3670,1.9722,1.5932e+15
1820,7454720,2.1859e+16,1.3642,1.3642,1.9682,1.60153e+15
1830,7495680,2.19792e+16,1.3154,1.3603,1.9626,1.60967e+15
1840,7536640,2.20993e+16,1.4251,1.3610,1.9635,1.61858e+15
1850,7577600,2.22194e+16,1.2287,1.3536,1.9529,1.6261e+15
1860,7618560,2.23395e+16,1.2440,1.3505,1.9483,1.63435e+15
1870,7659520,2.24596e+16,1.3253,1.3499,1.9475,1.64303e+15
1880,7700480,2.25797e+16,1.1417,1.3425,1.9369,1.65054e+15
1890,7741440,2.26998e+16,1.4135,1.3422,1.9364,1.65926e+15
1900,7782400,2.28199e+16,1.3283,1.3427,1.9370,1.66812e+15
1910,7823360,2.294e+16,1.3730,1.3429,1.9374,1.67694e+15
1920,7864320,2.30601e+16,1.3238,1.3387,1.9313,1.68497e+15
1930,7905280,2.31802e+16,1.3776,1.3411,1.9348,1.69418e+15
1940,7946240,2.33003e+16,1.3663,1.3468,1.9429,1.70397e+15
1950,7987200,2.34204e+16,1.7554,1.3599,1.9620,1.71514e+15
1960,8028160,2.35405e+16,1.3429,1.3566,1.9572,1.72333e+15
1970,8069120,2.36606e+16,1.4032,1.3561,1.9564,1.73203e+15
1980,8110080,2.37807e+16,1.4387,1.3513,1.9496,1.73995e+15
1990,8151040,2.39008e+16,1.4556,1.3516,1.9500,1.74879e+15
2000,8192000,2.40209e+16,1.4053,1.3542,1.9536,1.75805e+15
2010,8232960,2.4141e+16,1.0200,1.3466,1.9427,1.76542e+15
2020,8273920,2.42611e+16,1.2157,1.3441,1.9391,1.77374e+15
2030,8314880,2.43812e+16,1.0189,1.3370,1.9288,1.78119e+15
2040,8355840,2.45013e+16,1.1543,1.3300,1.9188,1.78865e+15
2050,8396800,2.46215e+16,1.1185,1.3280,1.9159,1.79704e+15
2060,8437760,2.47416e+16,1.4628,1.3274,1.9151,1.8057e+15
2070,8478720,2.48617e+16,1.5786,1.3347,1.9256,1.81585e+15
2080,8519680,2.49818e+16,2.0688,1.3446,1.9399,1.82653e+15
2090,8560640,2.51019e+16,1.5780,1.3463,1.9423,1.83564e+15
2100,8601600,2.5222e+16,1.2588,1.3526,1.9513,1.84564e+15
2110,8642560,2.53421e+16,1.4144,1.3615,1.9642,1.85618e+15
2120,8683520,2.54622e+16,0.8602,1.3524,1.9510,1.86318e+15
2130,8724480,2.55823e+16,0.9539,1.3462,1.9421,1.87074e+15
2140,8765440,2.57024e+16,1.4380,1.3499,1.9475,1.88026e+15
2150,8806400,2.58225e+16,1.2138,1.3457,1.9415,1.88822e+15
2160,8847360,2.59426e+16,1.1192,1.3418,1.9359,1.89622e+15
2170,8888320,2.60627e+16,1.1669,1.3398,1.9329,1.90459e+15
2180,8929280,2.61828e+16,1.1239,1.3298,1.9185,1.91136e+15
2190,8970240,2.63029e+16,1.1366,1.3252,1.9118,1.91919e+15
2200,9011200,2.6423e+16,1.1223,1.3200,1.9043,1.9269e+15
2210,9052160,2.65431e+16,1.0778,1.3154,1.8977,1.93472e+15
2220,9093120,2.66632e+16,1.0711,1.3088,1.8882,1.94214e+15
2230,9134080,2.67833e+16,1.2714,1.3121,1.8929,1.95155e+15
