eval_id,dim,n_heads,n_state,depth,lr,batch_size,params_b,avg_loss,final_loss,last_step_loss,median_tok_s,n_steps,tokens,train_minutes,proj_full_run_gpu_days,success,error
75,3200,101,32,19,0.0014986638045649688,2,1.2242,7.668671153846153,7.6687,6.8814,2511.0,520,2130960,14.76,460.935,True,
48,3328,95,32,18,0.0012162438489233239,2,1.153,7.672218518518519,7.6722,6.6523,2567.0,540,2212920,14.94,450.879,True,
56,3328,102,32,18,0.0013900707127144343,2,1.2247,7.680560000000001,7.6806,6.4643,2409.0,500,2049000,14.76,480.451,True,
90,3456,101,32,17,0.001498039401135771,2,1.2013,7.685658823529411,7.6857,6.8448,2429.5,510,2089980,14.88,476.397,True,
46,3200,99,32,18,0.0012232416935527577,2,1.1496,7.689343396226414,7.6893,6.867,2518.0,530,2171940,15.0,459.653,True,
81,3328,101,32,18,0.0013699809686115473,2,1.215,7.698666071428571,7.6987,6.799,2656.0,560,2294880,15.0,435.771,True,
70,3328,99,32,18,0.0012673559446842997,2,1.1956,7.703028846153846,7.703,6.8701,2458.0,520,2130960,15.0,470.874,True,
52,3456,97,32,18,0.0012133277715047094,2,1.2175,7.720107547169811,7.7201,6.8576,2505.5,530,2171940,15.0,461.947,True,
68,3328,97,32,19,0.0014291738684304952,2,1.2283,7.7244730769230765,7.7245,6.9789,2492.0,520,2130960,14.88,464.449,True,
43,3200,99,32,19,0.0011446816964948434,2,1.2045,7.724507547169812,7.7245,6.7045,2541.0,530,2171940,14.82,455.493,True,
82,3328,102,32,18,0.001419446110488146,2,1.2247,7.73266862745098,7.7327,6.6253,2427.0,510,2089980,14.94,476.888,True,
19,3200,89,32,20,0.0011507990572745645,2,1.1478,7.735594736842105,7.7356,6.851,2713.5,570,2335860,14.94,426.537,True,
40,3456,90,32,19,0.0012308859550040317,2,1.1969,7.736828846153846,7.7368,6.9803,2492.0,520,2130960,14.82,464.449,True,
67,3072,109,32,19,0.001477814344740806,2,1.2546,7.737248076923077,7.7372,6.9442,2505.0,520,2130960,14.82,462.039,True,
60,3328,104,32,17,0.0012667541871318768,2,1.1878,7.73775,7.7378,6.964,2496.0,520,2130960,14.88,463.705,True,
74,3328,100,32,18,0.0012472275381533037,2,1.2053,7.7412117647058825,7.7412,6.9906,2452.0,510,2089980,14.76,472.026,True,
89,3328,104,32,18,0.0014665334770252252,2,1.2478,7.742833962264151,7.7428,6.6173,2524.0,530,2171940,14.94,458.561,True,
59,3456,104,32,17,0.0010664679484420389,2,1.2335,7.75109074074074,7.7511,6.6973,2570.0,540,2212920,14.94,450.353,True,
69,3456,104,32,18,0.0013040670607282877,2,1.2958,7.7597000000000005,7.7597,6.5974,2402.0,500,2049000,14.82,481.852,True,
79,3456,103,32,18,0.0014226749807724076,2,1.2819,7.761719230769231,7.7617,7.0167,2462.0,520,2130960,15.0,470.109,True,
